spec_name, number_of_test_tuples, time_stamp, coverage_fraction, reachable_states_in_the_symbolic_controller, SS_variant?, num_tests, num_states
TrafficE2.spectra,15,2022-06-17_11-02-45.791,1.0,32,true,2,9
TrafficE2.spectra,15,2022-06-17_11-06-07.422,1.0,32,true,2,10
